Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,
8,0.195822467510618,0.937154789261182,CLJU_RS12245,CLJU_RS09865,CLJU_RS09915,CLJU_RS20875,CLJU_RS02035,CLJU_RS07210,CLJU_RS03475,CLJU_RS05590,,,
8,0.211958563997401,0.391121704261087,CLJU_RS12245,CLJU_RS09865,CLJU_RS09915,CLJU_RS20875,CLJU_RS02035,CLJU_RS01155,CLJU_RS07210,CLJU_RS03475,,,
11,0.130750293364695,2.53004217668959,CLJU_RS12245,CLJU_RS06265,CLJU_RS20875,CLJU_RS02035,CLJU_RS19980,CLJU_RS15035,CLJU_RS12480,CLJU_RS07210,CLJU_RS03475,CLJU_RS10610,CLJU_RS05590
11,0.130750293364695,2.53004217668959,CLJU_RS12245,CLJU_RS20875,CLJU_RS02035,CLJU_RS19980,CLJU_RS15035,CLJU_RS12480,CLJU_RS07210,CLJU_RS03475,CLJU_RS10610,CLJU_RS06260,CLJU_RS05590
11,0.130750293364695,2.53004217668959,CLJU_RS12245,CLJU_RS20875,CLJU_RS02035,CLJU_RS19980,CLJU_RS15035,CLJU_RS12480,CLJU_RS07210,CLJU_RS03475,CLJU_RS15865,CLJU_RS06260,CLJU_RS05590
11,0.133902414231669,2.35718922860887,CLJU_RS12245,CLJU_RS06265,CLJU_RS20875,CLJU_RS02035,CLJU_RS01155,CLJU_RS19980,CLJU_RS15035,CLJU_RS12480,CLJU_RS07210,CLJU_RS03475,CLJU_RS10610
11,0.133902414231669,2.35718922860887,CLJU_RS12245,CLJU_RS20875,CLJU_RS02035,CLJU_RS01155,CLJU_RS19980,CLJU_RS15035,CLJU_RS12480,CLJU_RS07210,CLJU_RS03475,CLJU_RS15865,CLJU_RS06260
11,0.133902414231669,2.35718922860887,CLJU_RS12245,CLJU_RS20875,CLJU_RS02035,CLJU_RS01155,CLJU_RS19980,CLJU_RS15035,CLJU_RS12480,CLJU_RS07210,CLJU_RS03475,CLJU_RS10610,CLJU_RS06260
11,0.133902414231669,2.35718922860887,CLJU_RS12245,CLJU_RS06265,CLJU_RS20875,CLJU_RS02035,CLJU_RS01155,CLJU_RS19980,CLJU_RS15035,CLJU_RS12480,CLJU_RS07210,CLJU_RS03475,CLJU_RS15865
11,0.130750293364695,2.53004217668959,CLJU_RS12245,CLJU_RS06265,CLJU_RS20875,CLJU_RS02035,CLJU_RS19980,CLJU_RS15035,CLJU_RS12480,CLJU_RS07210,CLJU_RS03475,CLJU_RS15865,CLJU_RS05590
