Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,
4,0.219117793005338,0.0551971380721301,PHATRDRAFT_49112,PHATRDRAFT_55035,PHATRDRAFT_36256,PHATRDRAFT_42245,,
4,0.219117793005375,0.0551971380721905,PHATRDRAFT_36257,PHATRDRAFT_20183,PHATRDRAFT_42245,PHATRDRAFT_44384,,
4,0.219117793005532,0.0551971380732539,PHATRDRAFT_55192,PHATRDRAFT_55035,PHATRDRAFT_36256,PHATRDRAFT_23913,,
4,0.334973585055448,0.0172229013571355,PHATRDRAFT_20183,PHATRDRAFT_859,PHATRDRAFT_23913,PHATRDRAFT_51245,,
4,0.334973585055437,0.0172229013571348,PHATRDRAFT_55035,PHATRDRAFT_48078,PHATRDRAFT_42245,PHATRDRAFT_44384,,
4,0.334973585055449,0.0172229013571355,Phatr3_EG02215,PHATRDRAFT_20183,PHATRDRAFT_48078,PHATRDRAFT_42245,,
4,0.334973585055446,0.0172229013571354,PHATRDRAFT_20183,PHATRDRAFT_48078,PHATRDRAFT_23913,PHATRDRAFT_46728,,
4,0.219117793005338,0.0551971380721301,PHATRDRAFT_20183,PHATRDRAFT_36256,PHATRDRAFT_42245,PHATRDRAFT_36390,,
4,0.219117793005197,0.0551971380716762,PHATRDRAFT_36257,PHATRDRAFT_55035,PHATRDRAFT_19708,PHATRDRAFT_23913,,
5,0.334973585055447,0.0172229013571354,PHATRDRAFT_42015,PHATRDRAFT_55035,PHATRDRAFT_859,PHATRDRAFT_23913,PHATRDRAFT_16649,
5,0.334973585055422,0.0172229013571341,PHATRDRAFT_54219,PHATRDRAFT_13894,PHATRDRAFT_17401,PHATRDRAFT_859,PHATRDRAFT_23913,
5,0.334973585055448,0.0172229013571354,PHATRDRAFT_20183,PHATRDRAFT_48078,PHATRDRAFT_41886,PHATRDRAFT_39681,PHATRDRAFT_23913,
5,0.334973585055484,0.0172229013571373,PHATRDRAFT_55192,Phatr3_EG02215,PHATRDRAFT_20183,PHATRDRAFT_29016,PHATRDRAFT_48078,
5,0.334973585055445,0.0172229013571353,PHATRDRAFT_45947,PHATRDRAFT_20183,PHATRDRAFT_48078,PHATRDRAFT_25572,PHATRDRAFT_23365,
5,0.334973585055484,0.0172229013571373,PHATRDRAFT_55192,Phatr3_EG02215,PHATRDRAFT_20183,PHATRDRAFT_40430,PHATRDRAFT_48078,
6,0.219117793005567,0.0551971380731269,PHATRDRAFT_42015,PHATRDRAFT_36257,PHATRDRAFT_55035,PHATRDRAFT_29016,PHATRDRAFT_20310,PHATRDRAFT_31367
6,0.334973585055449,0.0172229013571354,PHATRDRAFT_draft976,Phatr3_EG02215,PHATRDRAFT_20183,PHATRDRAFT_29016,PHATRDRAFT_859,PHATRDRAFT_20310
6,0.334973585055447,0.0172229013571353,PHATRDRAFT_42015,PHATRDRAFT_55035,PHATRDRAFT_29016,PHATRDRAFT_859,PHATRDRAFT_51970,PHATRDRAFT_51245
6,0.334973585055445,0.0172229013571352,PHATRDRAFT_draft976,PHATRDRAFT_49112,PHATRDRAFT_55035,PHATRDRAFT_40430,PHATRDRAFT_48078,PHATRDRAFT_51830
6,0.334973585055449,0.0172229013571354,Phatr3_EG02215,PHATRDRAFT_20183,PHATRDRAFT_40430,PHATRDRAFT_859,PHATRDRAFT_20310,PHATRDRAFT_22019
6,0.334973585055449,0.0172229013571354,PHATRDRAFT_13643,PHATRDRAFT_20183,PHATRDRAFT_48078,PHATRDRAFT_20310,PHATRDRAFT_20445,PHATRDRAFT_36390
6,0.334973585055449,0.0172229013571355,PHATRDRAFT_54219,PHATRDRAFT_49112,PHATRDRAFT_13894,PHATRDRAFT_17401,PHATRDRAFT_48078,PHATRDRAFT_42245
