Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,
3,0.283558381214824,11.5681604770097,YPO3725,YPO1114,YPO2552,,,,,,
4,0.283558381214823,22.0698855628227,YPO2552,YPO1109,YPO0920,YPO0921,,,,,
4,0.283558381214825,28.1093909395403,YPO3725,YPO1114,YPO0920,YPO1149,,,,,
4,0.283558381214768,20.2433412752296,YPO2552,YPO1109,YPO0921,YPO1149,,,,,
4,0.283558381214824,12.238351802631,YPO2157,YPO1541,YPO3725,YPO1114,,,,,
4,0.283558381214826,54.3856564260271,YPO3725,YPO1114,YPO0920,YPO0921,,,,,
4,0.283558381214824,54.3856564261478,YPO2157,YPO3725,YPO1114,YPO3520,,,,,
4,0.283558381214822,9.07840117195212,YPO3992,YPO0347,YPO3725,YPO1114,,,,,
4,0.283558381214824,54.3856564261478,YPO3725,YPO1114,YPO3520,YPO0921,,,,,
5,0.283558381214935,5.82560403688895,YPO3992,YPO0347,YPO3520,YPO0921,YPO2836,,,,
5,0.283558381214824,1.83614589575726,YPO3725,YPO1114,YPO3516,YPO2303,YPO3914,,,,
6,0.232752989615171,10.0367928671876,YPO0070,YPO1771,YPO2552,YPO1109,YPO3376,YPO3520,,,
6,0.283558381214824,29.1023658161191,YPO2157,YPO0091,YPO3992,YPO0347,YPO3080,YPO3520,,,
6,0.283558381214824,0.834325953273549,YPO1114,YPO2552,YPO1109,YPO4056,YPO1149,YPO2567,,,
7,0.283558381214823,0.337024642977385,YPO3516,YPO2824,YPO2552,YPO1109,YPO0920,YPO1149,YPO2567,,
9,0.283558381214824,4.57110702431121,YPO4078,YPO3992,YPO0347,YPO1114,YPO1177,YPO1569,YPO1617,YPO2552,YPO4056
9,0.283558381214823,30.0271006738917,YPO1384,YPO4078,YPO3992,YPO0347,YPO1177,YPO1569,YPO1617,YPO2552,YPO2303
