Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,
3,0.239159310289327,1.76355637646602,PHATRDRAFT_14792,PHATRDRAFT_26290,PHATRDRAFT_50742,,,,
3,0.236024333216948,1.7404391129188,PHATRDRAFT_26290,PHATRDRAFT_48983,PHATRDRAFT_8982,,,,
3,0.236024333216948,1.7404391129188,PHATRDRAFT_14792,PHATRDRAFT_26290,PHATRDRAFT_48983,,,,
3,0.359606707775731,1.17502333096325,PHATRDRAFT_14792,PHATRDRAFT_48983,PHATRDRAFT_48078,,,,
3,0.239159310289327,1.76355637646602,PHATRDRAFT_26290,PHATRDRAFT_50742,PHATRDRAFT_8982,,,,
4,0.236024333216978,1.74043911291738,PHATRDRAFT_14792,PHATRDRAFT_30145,PHATRDRAFT_41063,PHATRDRAFT_33839,,,
4,0.236024333216777,1.74043911291792,PHATRDRAFT_30145,PHATRDRAFT_32747,PHATRDRAFT_25308,PHATRDRAFT_8982,,,
4,0.359606707775732,1.17502333096339,PHATRDRAFT_14792,PHATRDRAFT_50742,PHATRDRAFT_859,PHATRDRAFT_20310,,,
4,0.359606707775732,0.857494024261792,PHATRDRAFT_14792,PHATRDRAFT_50742,PHATRDRAFT_19708,PHATRDRAFT_11319,,,
4,0.359606707775733,0.857494024260915,PHATRDRAFT_14792,PHATRDRAFT_48983,PHATRDRAFT_19708,PHATRDRAFT_17720,,,
5,0.239159310289327,1.76355637646602,PHATRDRAFT_26290,PHATRDRAFT_51128,PHATRDRAFT_29456,PHATRDRAFT_23598,PHATRDRAFT_50742,,
5,0.236024333216904,1.74043911291722,PHATRDRAFT_30145,PHATRDRAFT_48983,PHATRDRAFT_51128,PHATRDRAFT_29456,PHATRDRAFT_23598,,
5,0.236024333216948,1.7404391129188,PHATRDRAFT_26290,PHATRDRAFT_48983,PHATRDRAFT_51128,PHATRDRAFT_29456,PHATRDRAFT_23598,,
5,0.359606707775731,1.17502333096325,PHATRDRAFT_48983,PHATRDRAFT_51128,PHATRDRAFT_29456,PHATRDRAFT_23598,PHATRDRAFT_48078,,
5,0.359606707775787,0.857494024261964,PHATRDRAFT_14792,PHATRDRAFT_19708,PHATRDRAFT_41063,PHATRDRAFT_33839,PHATRDRAFT_22803,,
5,0.35960670777562,0.857494024258584,PHATRDRAFT_14792,PHATRDRAFT_32747,PHATRDRAFT_25308,PHATRDRAFT_19708,PHATRDRAFT_22803,,
5,0.35960670777562,0.857494024260034,PHATRDRAFT_14792,PHATRDRAFT_40430,PHATRDRAFT_28191,PHATRDRAFT_50742,PHATRDRAFT_51970,,
6,0.236024333216777,1.74043911291792,PHATRDRAFT_30145,PHATRDRAFT_51128,PHATRDRAFT_29456,PHATRDRAFT_23598,PHATRDRAFT_32747,PHATRDRAFT_25308,
6,0.359606707775843,1.1750233309632,PHATRDRAFT_50742,PHATRDRAFT_54017,PHATRDRAFT_43320,PHATRDRAFT_24610,PHATRDRAFT_41969,PHATRDRAFT_859,
6,0.359606707775617,0.857494024259268,PHATRDRAFT_14792,PHATRDRAFT_40430,PHATRDRAFT_50742,PHATRDRAFT_41969,PHATRDRAFT_8945,PHATRDRAFT_41686,
7,0.359606707775787,0.857494024261964,PHATRDRAFT_51128,PHATRDRAFT_29456,PHATRDRAFT_23598,PHATRDRAFT_19708,PHATRDRAFT_41063,PHATRDRAFT_33839,PHATRDRAFT_23723
