Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.772269544647586,0.0886315736765645,b3399,b2744,b3708,b3008,b0871,b0160,b0120,b1982,b2797,b3117,b1814,b4471,b4374,b0675,b2361,b2291,b0261,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b3821,b4141,b1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.767472937409423,0.0880810782538751,b2836,b4384,b3708,b3008,b0871,b0030,b2407,b1982,b2797,b3117,b1814,b4471,b0261,b4381,b2406,b0114,b0886,b2366,b2492,b0904,b2578,b1533,b3927,b1600,b4141,b1798,b3662,b0221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.767445015710903,0.088077873753982,b4382,b4384,b3708,b3008,b3752,b0871,b2407,b1982,b2797,b3117,b1814,b4471,b3665,b0261,b2406,b0452,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b4141,b1798,b3662,b0221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.767481928913536,0.0880511806756449,b2836,b4384,b3708,b3008,b0871,b0030,b2407,b3844,b1982,b2797,b3117,b1814,b4471,b0261,b4381,b2406,b0114,b0886,b2366,b2492,b0904,b2578,b1533,b3927,b1600,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.77226534974484,0.0428439075250676,b4384,b3708,b3008,b3752,b0871,b2407,b1982,b2797,b3117,b1814,b4471,b2440,b0261,b4381,b2406,b0114,b0886,b2366,b2492,b0904,b2578,b1533,b3927,b0494,b0515,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.775428231813478,0.0398521224998267,b3399,b2502,b2744,b3708,b3008,b0871,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b0261,b4381,b2406,b0114,b0886,b2366,b2492,b0904,b2578,b1533,b3927,b3821,b0515,b4141,b1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.772269544647572,0.0886315736773225,b4382,b4384,b3708,b3008,b0871,b0030,b2407,b0121,b1982,b2797,b3117,b1814,b4471,b3449,b0261,b2406,b0114,b0886,b2366,b2492,b0904,b2578,b1533,b3927,b0494,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.767436816455523,0.088046005035226,b4382,b4384,b3708,b3008,b3752,b0871,b2407,b1982,b2797,b3117,b1814,b4471,b3449,b0261,b2406,b0452,b2868,b0114,b0886,b2366,b2492,b0904,b2578,b1533,b3927,b4141,b1798,b3662,b4209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,0.576572641751278,0.066171896751516,b4382,b4384,b3708,b3008,b0512,b0871,b0030,b2407,b1982,b2797,b3117,b1814,b4471,b3449,b0261,b2239,b2406,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b4141,b1798,b3662,b2285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.506763476246535,0.50547629701301,b3553,b4382,b1241,b0351,b4069,b4384,b3708,b2297,b2458,b3617,b0030,b2407,b1982,b2797,b3117,b1814,b4471,b1033,b0261,b2406,b0112,b0114,b0509,b3125,b1539,b2492,b0904,b1533,b3821,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.506760265191809,0.505473094122143,b3399,b1241,b0351,b4069,b2744,b3708,b2297,b2458,b3617,b0160,b1982,b2797,b3117,b1814,b4471,b4374,b0675,b2361,b2291,b0261,b0507,b0112,b2975,b0114,b3603,b1539,b2492,b0904,b1533,b3821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.504694836949057,0.503399352597139,b2836,b3553,b4382,b1241,b0351,b4069,b4384,b3708,b3752,b2297,b2458,b2407,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b1033,b0261,b0507,b2406,b0112,b0114,b1539,b2492,b0904,b1533,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.504691652056033,0.503396175871785,b2836,b3399,b1241,b0351,b4069,b2502,b2744,b3708,b2297,b2458,b3617,b1982,b2797,b3117,b1814,b4471,b4374,b0675,b2361,b2291,b0261,b0507,b0112,b2975,b0114,b3603,b2366,b2492,b0904,b1533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.396826220325207,0.395796958927361,b4382,b1241,b0351,b4069,b4384,b3708,b3752,b2297,b2458,b3617,b2407,b1982,b2797,b3117,b1814,b4471,b0261,b0507,b2406,b0112,b0452,b2975,b0114,b3603,b1539,b2492,b0904,b1533,b3662,b2285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.772269544647586,0.0886315736764176,b4384,b2744,b3708,b3008,b3752,b0871,b2407,b0121,b1982,b2797,b3117,b1814,b4471,b4374,b2361,b2291,b0261,b0411,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b3821,b4141,b1798,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.76735048407655,0.0884963571639806,b4384,b3708,b3008,b3752,b0871,b2407,b2797,b3117,b1814,b4471,b3665,b0261,b4381,b2406,b0452,b3654,b3714,b3664,b0114,b0886,b2366,b2492,b0904,b2578,b1533,b3927,b4141,b1798,b3662,b0221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.767481928913535,0.0880511806687647,b2836,b3399,b4382,b4384,b2744,b3708,b3008,b0871,b0160,b3844,b1982,b2797,b3117,b1814,b4471,b0675,b2361,b2291,b0261,b0114,b0886,b1539,b2492,b0904,b2578,b1533,b3927,b1600,b4141,b1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.50664267497149,0.505809416644337,b4382,b1241,b0351,b4069,b4384,b3708,b2297,b2458,b0030,b2407,b2797,b3117,b1814,b4471,b3616,b3589,b3665,b2406,b0112,b3654,b3714,b3664,b0114,b2366,b2492,b0904,b1533,b2835,b0494,b3662,b1517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.50676347624655,0.505476297017026,b3553,b4382,b1241,b0351,b4069,b4384,b3708,b3752,b2297,b2458,b2407,b1982,b2797,b3117,b1814,b4471,b3616,b3589,b1033,b0261,b2406,b0112,b0114,b0509,b3125,b2366,b2492,b0904,b1533,b3821,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.506760265191669,0.505473094116077,b4382,b1241,b0351,b4069,b4384,b3708,b3115,b1849,b2296,b3617,b0030,b2407,b1982,b2797,b3117,b1814,b4471,b0261,b0507,b2406,b0112,b2975,b0114,b3603,b1539,b2492,b0904,b1533,b3825,b0494,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.504575019780973,0.503731605813527,b4382,b1241,b0351,b4069,b4384,b3708,b3752,b2297,b2458,b2407,b2797,b3117,b1814,b4471,b3616,b3589,b3665,b2406,b0112,b0452,b3654,b3714,b3664,b0114,b2366,b2492,b0904,b1533,b2835,b3662,b1517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.772096968539115,0.0891014056817993,b3399,b2502,b4384,b2744,b3708,b3008,b0871,b2797,b3117,b1814,b4471,b3665,b4374,b0675,b2361,b2291,b3654,b3714,b3664,b0114,b0886,b2366,b2492,b0904,b2578,b1533,b3927,b3821,b4141,b1798,b1518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
