Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,
4,0.86422188197332,0.50313788057844,b4069,b2297,b2458,b0010,,,,,,,,,,,,
5,0.864221881973322,0.503137880578362,b4069,b3115,b1849,b2296,b0010,,,,,,,,,,,
8,0.659366851958684,1.74800736365542,b2925,b2097,b0907,b2690,b3945,b0010,b0723,b2285,,,,,,,,
8,0.659372903701693,1.74778458565799,b2925,b2097,b3946,b0825,b0010,b2913,b0723,b2285,,,,,,,,
8,0.698019744092298,1.26410979387909,b2779,b2925,b2097,b2926,b3946,b0825,b0010,b0723,,,,,,,,
9,0.633507343154542,0.948896237719734,b2925,b2097,b3946,b0825,b0010,b2492,b0904,b0723,b2285,,,,,,,
9,0.63350734315448,0.948896237701367,b2925,b2097,b2690,b3945,b0010,b2492,b0904,b0723,b2285,,,,,,,
10,0.698009145236673,1.26439809715897,b2930,b4232,b3697,b3925,b2779,b0907,b3946,b0825,b0010,b0723,,,,,,
10,0.698019744092298,1.26410979398411,b2930,b4232,b3697,b3925,b2926,b2690,b3945,b4388,b0010,b0723,,,,,,
10,0.698019744092298,1.26410979398411,b2930,b4232,b3697,b3925,b1779,b2690,b3945,b4388,b0010,b0723,,,,,,
11,0.698008894290082,1.26446964260015,b2779,b2925,b2097,b0907,b2690,b1302,b2662,b4015,b0726,b3945,b0010,,,,,
11,0.7976969175675,0.0166252477052155,b2836,b2925,b2097,b3236,b2388,b3946,b0825,b3565,b4388,b0010,b0723,,,,,
12,0.726717881670735,0.335399239712544,b1478,b1241,b2925,b2097,b1779,b2690,b0675,b0822,b0010,b0529,b1912,b0723,,,,
14,0.723490743749497,0.378387758744914,b2925,b2097,b3236,b1779,b1525,b3946,b0825,b2661,b4014,b2976,b0726,b0507,b0010,b0529,,
15,0.698002959075851,1.26438826673252,b3553,b2779,b2925,b2097,b1779,b2690,b1302,b2662,b1033,b4014,b2976,b0726,b3945,b0507,b0010,
15,0.698019493138148,1.26418134045775,b2930,b4232,b3697,b3925,b2779,b3946,b0825,b1493,b3517,b4015,b0726,b0010,b2913,b1444,b1297,
16,0.691148241469117,1.35040727488674,b2930,b4232,b3697,b3925,b2779,b3236,b2690,b1302,b2662,b2210,b4014,b2976,b0726,b3945,b4388,b0010
