Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.517712547924832,0.992182378717352,b4382,b1241,b0351,b4069,b4384,b2297,b2458,b3617,b0030,b2407,b1982,b0261,b2406,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.517712547924801,0.992182378730674,b1241,b0351,b4069,b4384,b3752,b3115,b1849,b2296,b3617,b2407,b1982,b0261,b4381,b2406,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.517712547924816,0.992182378725771,b4382,b1241,b0351,b4069,b4384,b3752,b3115,b1849,b2296,b3617,b2407,b1982,b0261,b2406,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.517712547924801,0.992182378710705,b3399,b1241,b0351,b4069,b2502,b2744,b2297,b2458,b3617,b1982,b4374,b0675,b2361,b2291,b0261,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.517712547924788,0.992182378712505,b4382,b1241,b0351,b4069,b4384,b3115,b1849,b2296,b3617,b0030,b2407,b1982,b0261,b2406,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.519452319470229,0.981924615384319,b3399,b1241,b0351,b4069,b2744,b2297,b2458,b3617,b0160,b1982,b0675,b2361,b0261,b4381,b2406,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.52949453391188,0.521127637787536,b3399,b1241,b0351,b4069,b2502,b2744,b2297,b2458,b3617,b1238,b1982,b0675,b2361,b0261,b4381,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.52949453391191,0.521127637786122,b4382,b1241,b0351,b4069,b4384,b2744,b3752,b2297,b2458,b3617,b2407,b1982,b0261,b0411,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.529494533911852,0.521127637768131,b3399,b1241,b0351,b4069,b2744,b2297,b2458,b3617,b0160,b1238,b1982,b0675,b2361,b0261,b4381,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.517712547924802,0.992182378710698,b1241,b0351,b4069,b4384,b2297,b2458,b0030,b2407,b1982,b3616,b3589,b0261,b4381,b2406,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.517712547924788,0.992182378716215,b1241,b0351,b4069,b4384,b3752,b3115,b1849,b2296,b2407,b1982,b3616,b3589,b0261,b4381,b2406,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.517712547924802,0.992182378719333,b4382,b1241,b0351,b4069,b4384,b3115,b1849,b2296,b0030,b2407,b1982,b3616,b3589,b0261,b2406,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.517712547924802,0.992182378710773,b3399,b1241,b0351,b4069,b2502,b2744,b2297,b2458,b1982,b3616,b3589,b4374,b0675,b2361,b2291,b0261,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.519452319470256,0.98192461538709,b3399,b1241,b0351,b4069,b2502,b2744,b3115,b1849,b2296,b3617,b1982,b0675,b2361,b0261,b4381,b2406,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.529494533911931,0.521127637790501,b3399,b1241,b0351,b4069,b2502,b2744,b3115,b1849,b2296,b3617,b1238,b1982,b0675,b2361,b0261,b4381,b0112,b0114,b0529,b2492,b0904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.529494533911896,0.521127637790683,b4382,b1241,b0351,b4069,b4384,b2744,b3752,b2297,b2458,b2407,b1982,b3616,b3589,b0261,b0411,b0112,b0114,b0529,b2492,b0904,b3662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
