Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.70161986242141,0.37050047167114,b3916,b2836,b4382,b0474,b2518,b3831,b4384,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b1200,b4161,b4138,b4123,b0621,b2406,b1723,b3918,b1912,b1206,,,,,,,,,,,,,,,,,,
24,0.679644165275237,0.358950667670762,b0474,b2518,b3831,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b4161,b4138,b4123,b0621,b4381,b2406,b0452,b0755,b3612,b3918,b0789,b1249,b1206,b0221,,,,,,,,,,,,,,,,,,
24,0.659971882646915,0.348507656225378,b4382,b0474,b2518,b4384,b2744,b4152,b2779,b2781,b1612,b1611,b4122,b1759,b3449,b4374,b4161,b0675,b4138,b4123,b0621,b2406,b0452,b3918,b1912,b1206,,,,,,,,,,,,,,,,,,
24,0.625339274448346,0.330269811116067,b0474,b2518,b2744,b4152,b2926,b2781,b1612,b1611,b4122,b1759,b4374,b4161,b0675,b2361,b2291,b4138,b4123,b0621,b0452,b3918,b0789,b1249,b1206,b0221,,,,,,,,,,,,,,,,,,
24,0.519563262753292,0.131397549145799,b0474,b2518,b2744,b1278,b4152,b2781,b1612,b1611,b4122,b1779,b1759,b4374,b4161,b0675,b2361,b2291,b4138,b4123,b0621,b0452,b3029,b3918,b1206,b2285,,,,,,,,,,,,,,,,,,
24,0.690815817583067,0.169691176322456,b2744,b1278,b3614,b0910,b4152,b2781,b1612,b1611,b4122,b0907,b1759,b4374,b0675,b4138,b4123,b0621,b4381,b2406,b0452,b0529,b2197,b3918,b0418,b1206,,,,,,,,,,,,,,,,,,
24,0.68077356291472,0.35949228305675,b2836,b3831,b2744,b1278,b3614,b0910,b3752,b4152,b2781,b1612,b1611,b4122,b1759,b4374,b2361,b2291,b4138,b4123,b0621,b2406,b0755,b3612,b3918,b1206,,,,,,,,,,,,,,,,,,
25,0.714381617695945,0.377297079477961,b4382,b0474,b2518,b3831,b4384,b4152,b2781,b0030,b1612,b1611,b4122,b0651,b2162,b1759,b4161,b1701,b1805,b4138,b4123,b0621,b2406,b2197,b3918,b1912,b1206,,,,,,,,,,,,,,,,,
25,0.628687821631269,0.332038329556253,b4382,b0474,b2518,b3831,b4384,b1278,b4152,b2926,b2781,b0030,b1612,b1611,b4122,b0651,b2162,b1759,b4161,b1701,b1805,b4138,b4123,b0621,b2406,b3918,b1206,,,,,,,,,,,,,,,,,
26,0.696579182186702,0.367894812149356,b0474,b2518,b3831,b4152,b2781,b0030,b1612,b1611,b4122,b0651,b2162,b1759,b2440,b4161,b4138,b4123,b0621,b2913,b4381,b2406,b3453,b2197,b3918,b1912,b2240,b1206,,,,,,,,,,,,,,,,
27,0.602907734263067,0.318422705322903,b2744,b3614,b0910,b4152,b2925,b2097,b2926,b2781,b1612,b1611,b4122,b2690,b1759,b4374,b0675,b3945,b4388,b4138,b4123,b0621,b4381,b0529,b2197,b3821,b3918,b4042,b1206,,,,,,,,,,,,,,,
27,0.598419506312709,0.315955804968348,b2744,b1278,b3614,b0910,b4152,b2925,b2097,b2781,b1612,b1611,b4122,b0907,b1779,b2690,b1759,b4374,b0675,b3945,b4138,b4123,b0621,b4381,b0452,b0529,b2197,b3918,b1206,,,,,,,,,,,,,,,
27,0.597526863002407,0.315580825062204,b0474,b2518,b3831,b3752,b4152,b2925,b2097,b2781,b1612,b1611,b4122,b1779,b1759,b3946,b0825,b4161,b0411,b4388,b4138,b4123,b0621,b4381,b0529,b2197,b3918,b1912,b1206,,,,,,,,,,,,,,,
28,0.603771867133189,0.318879092843741,b4382,b4384,b2744,b3614,b0910,b4152,b2925,b2097,b2926,b2781,b1612,b1611,b4122,b1759,b3946,b0825,b4374,b0675,b4138,b4123,b0621,b0755,b3612,b0529,b2197,b3918,b1912,b1206,,,,,,,,,,,,,,
28,0.598425149741107,0.315958784573549,b4382,b3831,b4384,b3614,b0910,b3752,b4152,b2925,b2097,b2781,b1612,b1611,b4122,b1779,b2690,b1759,b0411,b3945,b4138,b4123,b0621,b2913,b0452,b0529,b2197,b3918,b4042,b1206,,,,,,,,,,,,,,
29,0.59842406709911,0.316006445938514,b2836,b3831,b3614,b0910,b4152,b2925,b2097,b2926,b2781,b0030,b1612,b1611,b4122,b0651,b2162,b2690,b1759,b0411,b3945,b4138,b4123,b0621,b2913,b4381,b0529,b2197,b3918,b4042,b1206,,,,,,,,,,,,,
29,0.597519397239002,0.315576882054241,b0474,b2518,b3831,b4152,b2925,b2097,b2926,b2781,b0030,b1612,b1611,b4122,b0907,b0651,b2162,b2690,b1759,b4161,b0411,b3945,b4138,b4123,b0621,b4381,b0529,b2197,b3918,b1912,b1206,,,,,,,,,,,,,
30,0.575613102220998,0.304007181866769,b0474,b2518,b1241,b0351,b3831,b4069,b1278,b3752,b4152,b3115,b1849,b2296,b2781,b3617,b1612,b1611,b4122,b1779,b1759,b4161,b0411,b4138,b4123,b0621,b2913,b4381,b0529,b3821,b3918,b1206,,,,,,,,,,,,
31,0.441393949159942,0.233120007394485,b4382,b1241,b0351,b4384,b2744,b1278,b3614,b0910,b4152,b2297,b2458,b2781,b3617,b1612,b1611,b4122,b0907,b1779,b1759,b4374,b0675,b4138,b4123,b0621,b0529,b3918,b0418,b1206,b2285,b3893,b1474,,,,,,,,,,,
31,0.609521489314562,0.321915726989236,b3831,b2744,b3614,b0910,b3752,b2930,b4232,b3697,b3925,b4152,b2779,b2781,b1612,b1611,b4122,b1759,b3946,b0825,b4374,b2361,b2291,b0411,b4388,b4138,b4123,b0621,b2197,b3825,b3918,b1912,b1206,,,,,,,,,,,
31,0.602907734263081,0.318422705348283,b1478,b1241,b3831,b1278,b3614,b0910,b3752,b4152,b2779,b2925,b2097,b2781,b1612,b1611,b4122,b2690,b1759,b0675,b0411,b0822,b1701,b1805,b4388,b4138,b4123,b0621,b4381,b0529,b2197,b3918,b1206,,,,,,,,,,,
31,0.463600899010369,0.244773764377106,b4467,b2242,b3831,b1278,b3614,b0910,b3752,b2781,b1004,b3713,b1109,b0046,b1612,b1611,b4122,b1779,b1759,b2210,b1415,b4138,b4123,b0621,b4381,b2406,b0452,b2492,b0904,b3028,b3918,b1206,b2285,,,,,,,,,,,
32,0.574240034898584,0.303282003220886,b4269,b0493,b3588,b3003,b3011,b0474,b2518,b1241,b0351,b3831,b1278,b3752,b4152,b2926,b2781,b3617,b1612,b1611,b4122,b0907,b1759,b4161,b0411,b4138,b4123,b0621,b4381,b0529,b2835,b3918,b0494,b1206,,,,,,,,,,
35,0.558434749358668,0.29493452070001,b2242,b3553,b0474,b2518,b3831,b1278,b2781,b0030,b1004,b3713,b1109,b0046,b1612,b1611,b4122,b0651,b2162,b1759,b2210,b1033,b4161,b1415,b4138,b4123,b0621,b4381,b2406,b2492,b0904,b2197,b3028,b3821,b3918,b1206,b2285,,,,,,,
35,0.444490808958818,0.234755598341488,b3831,b1278,b3614,b0910,b3752,b3926,b2930,b4232,b3697,b3925,b4152,b3115,b1849,b2296,b2781,b1612,b1611,b4122,b1779,b2690,b1759,b0411,b3945,b4138,b4123,b0621,b2913,b4381,b0529,b2197,b3927,b3825,b3918,b1206,b2285,,,,,,,
36,0.529613633009858,0.279712792185757,b2242,b3553,b3831,b3614,b0910,b2781,b0030,b1004,b3713,b1109,b0046,b1612,b1611,b4122,b0907,b0651,b2162,b1759,b2210,b1033,b1415,b4138,b4123,b0621,b4381,b2406,b0529,b2197,b3825,b3028,b3918,b1912,b1206,b2285,b3893,b1474,,,,,,
39,0.401368324929307,0.211980674032037,b2242,b3553,b4382,b3831,b4384,b3614,b0910,b3752,b2779,b2925,b2097,b2926,b2781,b1004,b3713,b1109,b0046,b1612,b1611,b4122,b1759,b3946,b2210,b0825,b1033,b1415,b0411,b4138,b4123,b0621,b0529,b2492,b0904,b2197,b3028,b3918,b1912,b1206,b2285,,,
41,0.383978867106465,0.202796518384832,b1241,b0351,b3831,b3614,b0910,b3752,b2221,b4152,b0871,b3115,b1849,b2296,b2925,b2097,b2926,b2781,b3236,b1612,b1611,b4122,b2690,b1759,b2210,b0411,b0614,b3945,b4138,b4123,b0621,b4381,b0755,b3612,b1539,b2492,b0904,b2197,b2835,b3918,b4042,b1206,b2285,
42,0.401370658023185,0.211981906181789,b4467,b2242,b4382,b3831,b4384,b3614,b0910,b3752,b2779,b2925,b2097,b2781,b1004,b3713,b1109,b0046,b3236,b1612,b1611,b4122,b0907,b2690,b1759,b4014,b2976,b0411,b3945,b4138,b4123,b0621,b0529,b0306,b3605,b2197,b3028,b3821,b3918,b4042,b1206,b2285,b3893,b1474
42,0.401368947708892,0.211981002873971,b4467,b2242,b3831,b1278,b3614,b0910,b3752,b2925,b2097,b2781,b1004,b3713,b1109,b0046,b3236,b1612,b1611,b4122,b0907,b1779,b2690,b1759,b1415,b4014,b2976,b0411,b3945,b4138,b4123,b0621,b4381,b3453,b0529,b2197,b3825,b3028,b3918,b2240,b1206,b2285,b3893,b1474
42,0.401368947709007,0.211981002893207,b2242,b3553,b1478,b1241,b2744,b3614,b0910,b2930,b4232,b3697,b3925,b2779,b2781,b1004,b3713,b1109,b0046,b1612,b1611,b4122,b0907,b2690,b1759,b2210,b1033,b4374,b0675,b1415,b0822,b4138,b4123,b0621,b4381,b0529,b2492,b0904,b2197,b3028,b3918,b1912,b1206,b2285
