Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,
10,0.170942098106294,0.0102387336630385,CLJU_RS18515,CLJU_RS09865,CLJU_RS09915,CLJU_RS07210,CLJU_RS03475,CLJU_RS08715,CLJU_RS11985,CLJU_RS10705,CLJU_RS06260,CLJU_RS18530,,,,,,,,,
10,0.170942098106294,0.0102387336630385,CLJU_RS11895,CLJU_RS09865,CLJU_RS09915,CLJU_RS07210,CLJU_RS03475,CLJU_RS08715,CLJU_RS11985,CLJU_RS10705,CLJU_RS06260,CLJU_RS18530,,,,,,,,,
10,0.170942098106294,0.0102387336630385,CLJU_RS06265,CLJU_RS18515,CLJU_RS09865,CLJU_RS09915,CLJU_RS07210,CLJU_RS03475,CLJU_RS08715,CLJU_RS11985,CLJU_RS10705,CLJU_RS18530,,,,,,,,,
10,0.170942098106294,0.0102387336630385,CLJU_RS06265,CLJU_RS11895,CLJU_RS09865,CLJU_RS09915,CLJU_RS07210,CLJU_RS03475,CLJU_RS08715,CLJU_RS11985,CLJU_RS10705,CLJU_RS18530,,,,,,,,,
15,0.0712106811352113,0.173858870808713,CLJU_RS05830,CLJU_RS08100,CLJU_RS08095,CLJU_RS11895,CLJU_RS09865,CLJU_RS09915,CLJU_RS01155,CLJU_RS07210,CLJU_RS03475,CLJU_RS08715,CLJU_RS11985,CLJU_RS10610,CLJU_RS10705,CLJU_RS02910,CLJU_RS18530,,,,
15,0.0712106811352113,0.173858870808713,CLJU_RS05830,CLJU_RS08100,CLJU_RS08095,CLJU_RS11895,CLJU_RS09865,CLJU_RS09915,CLJU_RS01155,CLJU_RS07210,CLJU_RS03475,CLJU_RS08715,CLJU_RS15865,CLJU_RS11985,CLJU_RS10705,CLJU_RS02910,CLJU_RS18530,,,,
15,0.0712106811352113,0.173858870808713,CLJU_RS05830,CLJU_RS08100,CLJU_RS08095,CLJU_RS18515,CLJU_RS09865,CLJU_RS09915,CLJU_RS01155,CLJU_RS07210,CLJU_RS03475,CLJU_RS08715,CLJU_RS11985,CLJU_RS10610,CLJU_RS10705,CLJU_RS02910,CLJU_RS18530,,,,
15,0.0712106811352113,0.173858870808713,CLJU_RS05830,CLJU_RS08100,CLJU_RS08095,CLJU_RS18515,CLJU_RS09865,CLJU_RS09915,CLJU_RS01155,CLJU_RS07210,CLJU_RS03475,CLJU_RS08715,CLJU_RS15865,CLJU_RS11985,CLJU_RS10705,CLJU_RS02910,CLJU_RS18530,,,,
16,0.0776502475332029,0.168386410415451,CLJU_RS05830,CLJU_RS08100,CLJU_RS08095,CLJU_RS18515,CLJU_RS09865,CLJU_RS09915,CLJU_RS20875,CLJU_RS02035,CLJU_RS01155,CLJU_RS07210,CLJU_RS03475,CLJU_RS08715,CLJU_RS11985,CLJU_RS10610,CLJU_RS10705,CLJU_RS18530,,,
16,0.0776502475332029,0.168386410415451,CLJU_RS05830,CLJU_RS08100,CLJU_RS08095,CLJU_RS11895,CLJU_RS09865,CLJU_RS09915,CLJU_RS20875,CLJU_RS02035,CLJU_RS01155,CLJU_RS07210,CLJU_RS03475,CLJU_RS08715,CLJU_RS15865,CLJU_RS11985,CLJU_RS10705,CLJU_RS18530,,,
16,0.0776502475332029,0.168386410415451,CLJU_RS05830,CLJU_RS08100,CLJU_RS08095,CLJU_RS11895,CLJU_RS09865,CLJU_RS09915,CLJU_RS20875,CLJU_RS02035,CLJU_RS01155,CLJU_RS07210,CLJU_RS03475,CLJU_RS08715,CLJU_RS11985,CLJU_RS10610,CLJU_RS10705,CLJU_RS18530,,,
16,0.0776502475332029,0.168386410415451,CLJU_RS05830,CLJU_RS08100,CLJU_RS08095,CLJU_RS18515,CLJU_RS09865,CLJU_RS09915,CLJU_RS20875,CLJU_RS02035,CLJU_RS01155,CLJU_RS07210,CLJU_RS03475,CLJU_RS08715,CLJU_RS15865,CLJU_RS11985,CLJU_RS10705,CLJU_RS18530,,,
18,0.0800001610552694,0.155111525435473,CLJU_RS05830,CLJU_RS08100,CLJU_RS08095,CLJU_RS11895,CLJU_RS01155,CLJU_RS19985,CLJU_RS12485,CLJU_RS15040,CLJU_RS07210,CLJU_RS03475,CLJU_RS08715,CLJU_RS11995,CLJU_RS11985,CLJU_RS10610,CLJU_RS10705,CLJU_RS02910,CLJU_RS06260,CLJU_RS18530,
18,0.0800001610552694,0.155111525435473,CLJU_RS05830,CLJU_RS08100,CLJU_RS08095,CLJU_RS06265,CLJU_RS18515,CLJU_RS01155,CLJU_RS19985,CLJU_RS12485,CLJU_RS15040,CLJU_RS07210,CLJU_RS03475,CLJU_RS08715,CLJU_RS11995,CLJU_RS11985,CLJU_RS10610,CLJU_RS10705,CLJU_RS02910,CLJU_RS18530,
18,0.0800001610552694,0.155111525435473,CLJU_RS05830,CLJU_RS08100,CLJU_RS08095,CLJU_RS06265,CLJU_RS18515,CLJU_RS01155,CLJU_RS19985,CLJU_RS12485,CLJU_RS15040,CLJU_RS07210,CLJU_RS03475,CLJU_RS08715,CLJU_RS11995,CLJU_RS15865,CLJU_RS11985,CLJU_RS10705,CLJU_RS02910,CLJU_RS18530,
18,0.0800001610552694,0.155111525435473,CLJU_RS05830,CLJU_RS08100,CLJU_RS08095,CLJU_RS18515,CLJU_RS01155,CLJU_RS19985,CLJU_RS12485,CLJU_RS15040,CLJU_RS07210,CLJU_RS03475,CLJU_RS08715,CLJU_RS11995,CLJU_RS11985,CLJU_RS10610,CLJU_RS10705,CLJU_RS02910,CLJU_RS06260,CLJU_RS18530,
18,0.0800001610552694,0.155111525435473,CLJU_RS05830,CLJU_RS08100,CLJU_RS08095,CLJU_RS11895,CLJU_RS01155,CLJU_RS19985,CLJU_RS12485,CLJU_RS15040,CLJU_RS07210,CLJU_RS03475,CLJU_RS08715,CLJU_RS11995,CLJU_RS15865,CLJU_RS11985,CLJU_RS10705,CLJU_RS02910,CLJU_RS06260,CLJU_RS18530,
18,0.0800001610552694,0.155111525435473,CLJU_RS05830,CLJU_RS08100,CLJU_RS08095,CLJU_RS06265,CLJU_RS11895,CLJU_RS01155,CLJU_RS19985,CLJU_RS12485,CLJU_RS15040,CLJU_RS07210,CLJU_RS03475,CLJU_RS08715,CLJU_RS11995,CLJU_RS15865,CLJU_RS11985,CLJU_RS10705,CLJU_RS02910,CLJU_RS18530,
18,0.0800001610552694,0.155111525435473,CLJU_RS05830,CLJU_RS08100,CLJU_RS08095,CLJU_RS18515,CLJU_RS01155,CLJU_RS19985,CLJU_RS12485,CLJU_RS15040,CLJU_RS07210,CLJU_RS03475,CLJU_RS08715,CLJU_RS11995,CLJU_RS15865,CLJU_RS11985,CLJU_RS10705,CLJU_RS02910,CLJU_RS06260,CLJU_RS18530,
18,0.0800001610552694,0.155111525435473,CLJU_RS05830,CLJU_RS08100,CLJU_RS08095,CLJU_RS06265,CLJU_RS11895,CLJU_RS01155,CLJU_RS19985,CLJU_RS12485,CLJU_RS15040,CLJU_RS07210,CLJU_RS03475,CLJU_RS08715,CLJU_RS11995,CLJU_RS11985,CLJU_RS10610,CLJU_RS10705,CLJU_RS02910,CLJU_RS18530,
19,0.0859043304687898,0.150036232540407,CLJU_RS05830,CLJU_RS08100,CLJU_RS08095,CLJU_RS06265,CLJU_RS11895,CLJU_RS20875,CLJU_RS02035,CLJU_RS01155,CLJU_RS19985,CLJU_RS12485,CLJU_RS15040,CLJU_RS07210,CLJU_RS03475,CLJU_RS08715,CLJU_RS11995,CLJU_RS11985,CLJU_RS10610,CLJU_RS10705,CLJU_RS18530
19,0.0859043304687898,0.150036232540407,CLJU_RS05830,CLJU_RS08100,CLJU_RS08095,CLJU_RS11895,CLJU_RS20875,CLJU_RS02035,CLJU_RS01155,CLJU_RS19985,CLJU_RS12485,CLJU_RS15040,CLJU_RS07210,CLJU_RS03475,CLJU_RS08715,CLJU_RS11995,CLJU_RS11985,CLJU_RS10610,CLJU_RS10705,CLJU_RS06260,CLJU_RS18530
19,0.0859043304687898,0.150036232540407,CLJU_RS05830,CLJU_RS08100,CLJU_RS08095,CLJU_RS06265,CLJU_RS18515,CLJU_RS20875,CLJU_RS02035,CLJU_RS01155,CLJU_RS19985,CLJU_RS12485,CLJU_RS15040,CLJU_RS07210,CLJU_RS03475,CLJU_RS08715,CLJU_RS11995,CLJU_RS15865,CLJU_RS11985,CLJU_RS10705,CLJU_RS18530
19,0.0859043304687898,0.150036232540407,CLJU_RS05830,CLJU_RS08100,CLJU_RS08095,CLJU_RS06265,CLJU_RS18515,CLJU_RS20875,CLJU_RS02035,CLJU_RS01155,CLJU_RS19985,CLJU_RS12485,CLJU_RS15040,CLJU_RS07210,CLJU_RS03475,CLJU_RS08715,CLJU_RS11995,CLJU_RS11985,CLJU_RS10610,CLJU_RS10705,CLJU_RS18530
19,0.0859043304687898,0.150036232540407,CLJU_RS05830,CLJU_RS08100,CLJU_RS08095,CLJU_RS11895,CLJU_RS20875,CLJU_RS02035,CLJU_RS01155,CLJU_RS19985,CLJU_RS12485,CLJU_RS15040,CLJU_RS07210,CLJU_RS03475,CLJU_RS08715,CLJU_RS11995,CLJU_RS15865,CLJU_RS11985,CLJU_RS10705,CLJU_RS06260,CLJU_RS18530
19,0.0859043304687898,0.150036232540407,CLJU_RS05830,CLJU_RS08100,CLJU_RS08095,CLJU_RS18515,CLJU_RS20875,CLJU_RS02035,CLJU_RS01155,CLJU_RS19985,CLJU_RS12485,CLJU_RS15040,CLJU_RS07210,CLJU_RS03475,CLJU_RS08715,CLJU_RS11995,CLJU_RS15865,CLJU_RS11985,CLJU_RS10705,CLJU_RS06260,CLJU_RS18530
19,0.0859043304687898,0.150036232540407,CLJU_RS05830,CLJU_RS08100,CLJU_RS08095,CLJU_RS06265,CLJU_RS11895,CLJU_RS20875,CLJU_RS02035,CLJU_RS01155,CLJU_RS19985,CLJU_RS12485,CLJU_RS15040,CLJU_RS07210,CLJU_RS03475,CLJU_RS08715,CLJU_RS11995,CLJU_RS15865,CLJU_RS11985,CLJU_RS10705,CLJU_RS18530
