Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,
3,0.359606707775731,2.6517332808456,PHATRDRAFT_14792,PHATRDRAFT_26290,PHATRDRAFT_50742,,,,,,
3,0.359606707775731,2.6517332808456,PHATRDRAFT_26290,PHATRDRAFT_50742,PHATRDRAFT_8982,,,,,,
3,0.359606707775729,2.65173328084321,PHATRDRAFT_14792,PHATRDRAFT_30145,PHATRDRAFT_48983,,,,,,
3,0.359606707775731,2.65173328084522,PHATRDRAFT_14792,PHATRDRAFT_26290,PHATRDRAFT_48983,,,,,,
3,0.35960670777562,1.17502333096316,PHATRDRAFT_50742,PHATRDRAFT_8982,PHATRDRAFT_48078,,,,,,
3,0.359606707775842,1.17502333096456,PHATRDRAFT_14792,PHATRDRAFT_48983,PHATRDRAFT_48078,,,,,,
3,0.35960670777562,1.17502333096316,PHATRDRAFT_14792,PHATRDRAFT_50742,PHATRDRAFT_48078,,,,,,
4,0.359606707775731,2.65173328084374,PHATRDRAFT_14792,PHATRDRAFT_30145,PHATRDRAFT_32747,PHATRDRAFT_25308,,,,,
4,0.359606707775729,2.65173328084449,PHATRDRAFT_14792,PHATRDRAFT_30145,PHATRDRAFT_41063,PHATRDRAFT_33839,,,,,
4,0.359606707775729,2.65173328084425,PHATRDRAFT_26290,PHATRDRAFT_8982,PHATRDRAFT_41063,PHATRDRAFT_33839,,,,,
4,0.359606707775731,2.65173328084374,PHATRDRAFT_30145,PHATRDRAFT_32747,PHATRDRAFT_25308,PHATRDRAFT_8982,,,,,
4,0.35960670777562,1.17502333096316,PHATRDRAFT_14792,PHATRDRAFT_50742,PHATRDRAFT_19979,PHATRDRAFT_859,,,,,
4,0.359606707775842,1.17502333096456,PHATRDRAFT_14792,PHATRDRAFT_48983,PHATRDRAFT_19979,PHATRDRAFT_859,,,,,
4,0.359606707775725,1.17502333096344,PHATRDRAFT_8982,PHATRDRAFT_41063,PHATRDRAFT_33839,PHATRDRAFT_48078,,,,,
4,0.359606707775725,1.17502333096344,PHATRDRAFT_14792,PHATRDRAFT_41063,PHATRDRAFT_33839,PHATRDRAFT_48078,,,,,
4,0.359606707775731,1.17502333096276,PHATRDRAFT_32747,PHATRDRAFT_25308,PHATRDRAFT_8982,PHATRDRAFT_48078,,,,,
4,0.359606707775731,0.857494024261011,PHATRDRAFT_50742,PHATRDRAFT_19708,PHATRDRAFT_8982,PHATRDRAFT_35580,,,,,
4,0.359606707775729,0.857494024260268,PHATRDRAFT_14792,PHATRDRAFT_48983,PHATRDRAFT_19708,PHATRDRAFT_17720,,,,,
4,0.359606707775742,0.8574940242606,PHATRDRAFT_50742,PHATRDRAFT_19708,PHATRDRAFT_8982,PHATRDRAFT_17720,,,,,
4,0.359606707775729,0.857494024260482,PHATRDRAFT_48983,PHATRDRAFT_19708,PHATRDRAFT_8982,PHATRDRAFT_51970,,,,,
4,0.359606707775742,0.8574940242606,PHATRDRAFT_14792,PHATRDRAFT_50742,PHATRDRAFT_19708,PHATRDRAFT_17720,,,,,
4,0.359606707775732,0.857494024260599,PHATRDRAFT_54478,PHATRDRAFT_48983,PHATRDRAFT_19708,PHATRDRAFT_8982,,,,,
4,0.359606707775729,0.857494024260268,PHATRDRAFT_48983,PHATRDRAFT_19708,PHATRDRAFT_8982,PHATRDRAFT_41969,,,,,
4,0.359606707775746,0.857494024260569,PHATRDRAFT_14792,PHATRDRAFT_50742,PHATRDRAFT_19708,PHATRDRAFT_23913,,,,,
5,0.35960670777561,2.65173328084268,PHATRDRAFT_48983,PHATRDRAFT_45017,PHATRDRAFT_14762,PHATRDRAFT_8982,PHATRDRAFT_17720,,,,
5,0.359606707775836,2.65173328084586,PHATRDRAFT_30145,PHATRDRAFT_50742,PHATRDRAFT_54017,PHATRDRAFT_43320,PHATRDRAFT_24610,,,,
5,0.359606707775732,1.1750233309621,PHATRDRAFT_8982,PHATRDRAFT_41063,PHATRDRAFT_33839,PHATRDRAFT_859,PHATRDRAFT_20310,,,,
5,0.359606707775733,1.17502333096276,PHATRDRAFT_14792,PHATRDRAFT_41063,PHATRDRAFT_33839,PHATRDRAFT_859,PHATRDRAFT_23913,,,,
5,0.35960670777573,0.857494024260995,PHATRDRAFT_14792,PHATRDRAFT_32747,PHATRDRAFT_25308,PHATRDRAFT_19708,PHATRDRAFT_35580,,,,
6,0.359606707775733,2.65173328084388,PHATRDRAFT_45017,PHATRDRAFT_14762,PHATRDRAFT_8982,PHATRDRAFT_41063,PHATRDRAFT_33839,PHATRDRAFT_22803,,,
6,0.359606707775731,1.17502333096276,PHATRDRAFT_51128,PHATRDRAFT_29456,PHATRDRAFT_23598,PHATRDRAFT_32747,PHATRDRAFT_25308,PHATRDRAFT_48078,,,
6,0.359606707775842,0.857494024262075,PHATRDRAFT_14792,PHATRDRAFT_29016,PHATRDRAFT_28191,PHATRDRAFT_41063,PHATRDRAFT_33839,PHATRDRAFT_17720,,,
6,0.359606707775729,0.857494024260482,PHATRDRAFT_48983,PHATRDRAFT_51128,PHATRDRAFT_29456,PHATRDRAFT_23598,PHATRDRAFT_19708,PHATRDRAFT_51970,,,
7,0.359606707775731,0.0569897257592957,PHATRDRAFT_34010,PHATRDRAFT_13951,PHATRDRAFT_859,PHATRDRAFT_23913,PHATRDRAFT_32849,PHATRDRAFT_draft1517,PHATRDRAFT_28585,,
9,0.359606707775731,0.857494024260863,PHATRDRAFT_42015,PHATRDRAFT_54478,PHATRDRAFT_50742,PHATRDRAFT_54017,PHATRDRAFT_43320,PHATRDRAFT_24610,PHATRDRAFT_8945,PHATRDRAFT_41686,PHATRDRAFT_23365
